,Symbol,Code,Name,BeginDate,EndDate,Type,Exchange,MinTick,Multiplier,begindate,enddate
3016,S.CN.SZSE.001227,001227,兰州银行,2022-01-17,2200-01-01,STOCK,,,,2022-01-17,2200-01-01
3017,S.CN.SZSE.001234,001234,泰慕士,2022-01-11,2200-01-01,STOCK,,,,2022-01-11,2200-01-01
3018,S.CN.SZSE.001266,001266,宏英智能,2022-02-28,2200-01-01,STOCK,,,,2022-02-28,2200-01-01
3019,S.CN.SZSE.001267,001267,汇绿生态,2021-11-17,2200-01-01,STOCK,,,,2021-11-17,2200-01-01
3020,S.CN.SZSE.001288,001288,运机集团,2021-11-01,2200-01-01,STOCK,,,,2021-11-01,2200-01-01
3021,S.CN.SZSE.001289,001289,龙源电力,2022-01-24,2200-01-01,STOCK,,,,2022-01-24,2200-01-01
3022,S.CN.SZSE.001296,001296,长江材料,2021-12-24,2200-01-01,STOCK,,,,2021-12-24,2200-01-01
3023,S.CN.SZSE.001308,001308,康冠科技,2022-03-18,2200-01-01,STOCK,,,,2022-03-18,2200-01-01
3024,S.CN.SZSE.001313,001313,粤海饲料,2022-02-16,2200-01-01,STOCK,,,,2022-02-16,2200-01-01
3025,S.CN.SZSE.001317,001317,三羊马,2021-11-30,2200-01-01,STOCK,,,,2021-11-30,2200-01-01
3026,S.CN.SZSE.001696,001696,宗申动力,1997-03-06,2200-01-01,STOCK,,,,1997-03-06,2200-01-01
3027,S.CN.SZSE.001872,001872,招商港口,1993-05-05,2200-01-01,STOCK,,,,1993-05-05,2200-01-01
3028,S.CN.SZSE.001896,001896,豫能控股,1998-01-22,2200-01-01,STOCK,,,,1998-01-22,2200-01-01
3029,S.CN.SZSE.001914,001914,招商积余,1994-09-28,2200-01-01,STOCK,,,,1994-09-28,2200-01-01
3030,S.CN.SZSE.001965,001965,招商公路,2017-12-25,2200-01-01,STOCK,,,,2017-12-25,2200-01-01
3031,S.CN.SZSE.001979,001979,招商蛇口,2015-12-30,2200-01-01,STOCK,,,,2015-12-30,2200-01-01
3032,S.CN.SZSE.002001,002001,新和成,2004-06-25,2200-01-01,STOCK,,,,2004-06-25,2200-01-01
3033,S.CN.SZSE.002002,002002,鸿达兴业,2004-06-25,2200-01-01,STOCK,,,,2004-06-25,2200-01-01
3034,S.CN.SZSE.002003,002003,伟星股份,2004-06-25,2200-01-01,STOCK,,,,2004-06-25,2200-01-01
3035,S.CN.SZSE.002004,002004,华邦健康,2004-06-25,2200-01-01,STOCK,,,,2004-06-25,2200-01-01
3037,S.CN.SZSE.002006,002006,精功科技,2004-06-25,2200-01-01,STOCK,,,,2004-06-25,2200-01-01
3038,S.CN.SZSE.002007,002007,华兰生物,2004-06-25,2200-01-01,STOCK,,,,2004-06-25,2200-01-01
3039,S.CN.SZSE.002008,002008,大族激光,2004-06-25,2200-01-01,STOCK,,,,2004-06-25,2200-01-01
3040,S.CN.SZSE.002009,002009,天奇股份,2004-06-29,2200-01-01,STOCK,,,,2004-06-29,2200-01-01
3041,S.CN.SZSE.002010,002010,传化智联,2004-06-29,2200-01-01,STOCK,,,,2004-06-29,2200-01-01
3042,S.CN.SZSE.002011,002011,盾安环境,2004-07-05,2200-01-01,STOCK,,,,2004-07-05,2200-01-01
